epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.23,2.09869,0.19444,0.63889,2.0423,8.33e-05,8.33e-05,8.33e-05
2,29.882,1.935,0.33333,0.84722,1.89961,0.0001706,0.0001706,0.0001706
3,43.1109,1.72858,0.45833,0.90278,1.58938,0.000253365,0.000253365,0.000253365
4,56.7223,1.45994,0.66667,0.93056,1.13802,0.000331594,0.000331594,0.000331594
5,69.9377,1.22048,0.69444,0.94444,1.20519,0.000405288,0.000405288,0.000405288
6,84.2661,0.99427,0.70833,0.98611,0.9412,0.000474446,0.000474446,0.000474446
7,98.4824,0.82119,0.75,1,0.71302,0.000539068,0.000539068,0.000539068
8,112.536,0.62308,0.77778,1,0.68331,0.000599154,0.000599154,0.000599154
9,126.084,0.55428,0.75,1,0.79417,0.000654705,0.000654705,0.000654705
10,140.328,0.42623,0.72222,1,1.39592,0.000647449,0.000647449,0.000647449
11,155.007,0.35621,0.79167,1,0.71867,0.000626832,0.000626832,0.000626832
12,170.382,0.30992,0.80556,1,0.92318,0.000606216,0.000606216,0.000606216
13,188.24,0.26426,0.80556,1,0.69747,0.000585599,0.000585599,0.000585599
14,237.414,0.30522,0.83333,1,0.70394,0.000564982,0.000564982,0.000564982
15,278.118,0.21197,0.80556,1,0.41071,0.000544365,0.000544365,0.000544365
16,322.222,0.17809,0.86111,1,0.52264,0.000523749,0.000523749,0.000523749
17,353.848,0.14476,0.84722,1,0.35822,0.000503132,0.000503132,0.000503132
18,384.236,0.18377,0.86111,0.98611,0.77734,0.000482515,0.000482515,0.000482515
